Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-08-30,4.40625,4.40625,4.40625,4.40625,4151.4666667964
2024-09-02,4.40625,4.40625,4.29375,4.3875,6634.666666874
2024-09-03,4.3875,4.40625,4.3875,4.3875,17841.066667224
2024-09-04,4.40625,4.5375,4.40625,4.5,12140.800000379
2024-09-05,4.58,4.58,4.48,4.54,600
2024-09-06,4.76,4.76,4.48,4.66,94
2024-09-09,4.66,4.66,4.66,4.66,15
2024-09-10,4.48,4.48,4.48,4.48,1599
2024-09-11,4.62,4.62,4.4,4.4,4176
2024-09-12,4.62,4.62,4.5,4.5,107
2024-09-13,4.5,4.5,4.24,4.28,4520
2024-09-16,4.28,4.28,4.28,4.28,10
2024-09-17,4.6,4.6,4.28,4.28,79
2024-09-18,4.6,4.6,4.6,4.6,11
2024-09-19,4.6,4.6,4.6,4.6,25
2024-09-20,4.6,4.6,4.28,4.38,308
2024-09-23,4.6,4.6,4.38,4.38,108
2024-09-24,4.6,4.6,4.36,4.36,2831
2024-09-25,4.58,4.58,4.4,4.4,196
2024-09-26,4.58,4.58,4.36,4.36,2520
2024-09-27,4.5,4.5,4.34,4.34,872
2024-09-30,4.5,4.5,4.4,4.4,115
2024-10-01,4.5,4.5,4.44,4.44,56
2024-10-02,4.44,4.44,4.3,4.3,2361
2024-10-03,4.44,4.44,4.3,4.4,2263
2024-10-04,4.42,4.42,4.42,4.42,5
